Site,DateTime,Water_Pres_psi,Water_Temp_F,Barom_Pres_psi,Air_Temp_F,Water_Level_ft,Water_Level_NoIce_ft,Filter_Ice,Notes
Hitching Post,8/7/2020 11:00,11.42,63.80,11.14,81.44,0.95,0.95,0,
Hitching Post,8/7/2020 12:00,11.41,65.68,11.13,80.38,0.94,0.94,0,
Hitching Post,8/7/2020 13:00,11.41,66.71,11.12,84.47,0.93,0.93,0,
Hitching Post,8/7/2020 14:00,11.40,67.39,11.12,94.83,0.93,0.93,0,
Hitching Post,8/7/2020 15:00,11.40,67.56,11.13,99.09,0.92,0.92,0,
Hitching Post,8/7/2020 16:00,11.40,67.22,11.12,103.72,0.92,0.92,0,
Hitching Post,8/7/2020 17:00,11.40,66.37,11.12,90.12,0.90,0.90,0,
Hitching Post,8/7/2020 18:00,11.40,65.00,11.12,79.68,0.90,0.90,0,
Hitching Post,8/7/2020 19:00,11.40,63.11,11.12,76.35,0.90,0.90,0,
Hitching Post,8/7/2020 20:00,11.40,61.74,11.12,71.86,0.91,0.91,0,
Hitching Post,8/7/2020 21:00,11.41,60.71,11.13,61.57,0.93,0.93,0,
Hitching Post,8/7/2020 22:00,11.42,60.02,11.15,54.15,0.95,0.95,0,
Hitching Post,8/7/2020 23:00,11.43,59.68,11.15,48.70,0.97,0.97,0,
Hitching Post,8/8/2020 0:00,11.43,59.34,11.16,45.10,0.98,0.98,0,
Hitching Post,8/8/2020 1:00,11.44,58.82,11.16,43.28,0.99,0.99,0,
Hitching Post,8/8/2020 2:00,11.44,58.48,11.17,41.07,1.00,1.00,0,
Hitching Post,8/8/2020 3:00,11.44,58.13,11.17,38.63,1.00,1.00,0,
Hitching Post,8/8/2020 4:00,11.45,57.79,11.17,37.30,1.01,1.01,0,
Hitching Post,8/8/2020 5:00,11.45,57.27,11.18,35.37,1.00,1.00,0,
Hitching Post,8/8/2020 6:00,11.46,56.92,11.19,34.39,1.02,1.02,0,
Hitching Post,8/8/2020 7:00,11.47,56.75,11.20,33.41,1.05,1.05,0,
Hitching Post,8/8/2020 8:00,11.47,57.10,11.20,37.30,1.06,1.06,0,
Hitching Post,8/8/2020 9:00,11.47,58.30,11.19,43.83,1.05,1.05,0,
Hitching Post,8/8/2020 10:00,11.46,60.54,11.19,53.97,1.04,1.04,0,
Hitching Post,8/8/2020 11:00,11.45,63.11,11.18,67.91,1.03,1.03,0,
Hitching Post,8/8/2020 12:00,11.45,65.17,11.17,79.15,1.02,1.02,0,
Hitching Post,8/8/2020 13:00,11.44,66.54,11.16,84.83,1.02,1.02,0,
Hitching Post,8/8/2020 14:00,11.44,67.39,11.16,95.98,1.00,1.00,0,
Hitching Post,8/8/2020 15:00,11.43,67.39,11.15,98.31,0.98,0.98,0,
Hitching Post,8/8/2020 16:00,11.42,66.19,11.15,93.30,0.97,0.97,0,
Hitching Post,8/8/2020 17:00,11.42,65.34,11.14,86.82,0.96,0.96,0,
Hitching Post,8/8/2020 18:00,11.42,64.14,11.13,79.15,0.94,0.94,0,
Hitching Post,8/8/2020 19:00,11.41,62.60,11.13,75.31,0.94,0.94,0,
Hitching Post,8/8/2020 20:00,11.42,61.40,11.13,69.11,0.95,0.95,0,
Hitching Post,8/8/2020 21:00,11.43,60.20,11.14,59.68,0.96,0.96,0,
Hitching Post,8/8/2020 22:00,11.43,59.68,11.15,52.40,0.97,0.97,0,
Hitching Post,8/8/2020 23:00,11.44,59.34,11.16,48.52,0.98,0.98,0,
Hitching Post,8/9/2020 0:00,11.44,58.82,11.16,45.65,0.99,0.99,0,
Hitching Post,8/9/2020 1:00,11.44,58.48,11.16,42.55,0.99,0.99,0,
Hitching Post,8/9/2020 2:00,11.44,58.13,11.16,41.07,0.99,0.99,0,
Hitching Post,8/9/2020 3:00,11.45,57.96,11.17,38.63,1.00,1.00,0,
Hitching Post,8/9/2020 4:00,11.45,57.44,11.17,37.11,1.00,1.00,0,
Hitching Post,8/9/2020 5:00,11.45,57.10,11.18,35.95,1.01,1.01,0,
Hitching Post,8/9/2020 6:00,11.46,56.75,11.18,34.39,1.02,1.02,0,
Hitching Post,8/9/2020 7:00,11.46,56.40,11.19,33.61,1.04,1.04,0,
Hitching Post,8/9/2020 8:00,11.47,56.75,11.19,37.49,1.04,1.04,0,
Hitching Post,8/9/2020 9:00,11.46,57.96,11.19,44.01,1.04,1.04,0,
Hitching Post,8/9/2020 10:00,11.46,60.02,11.18,54.67,1.03,1.03,0,
Hitching Post,8/9/2020 11:00,11.45,62.43,11.17,67.22,1.02,1.02,0,
Hitching Post,8/9/2020 12:00,11.44,64.65,11.17,79.33,1.01,1.01,0,
Hitching Post,8/9/2020 13:00,11.44,66.37,11.16,86.46,1.01,1.01,0,
